% Corrected geomagnetic indices and IMF, solar wind speed and OSF reconstructions
% This is a update of the paper 
%    Lockwood, M., H. Nevanlinna, L. Barnard, M.J. Owens, R.G. Harrison, A.P. Rouillard, and C.J. Scott
%    Reconstruction of Geomagnetic Activity and Near‐Earth Interplanetary Conditions over the Past 167 Years: 4. Near‐Earth Solar Wind Speed, IMF, and Open Solar Flux
%    Annales. Geophys., 32, 383‐399, doi: 10.5194/angeo-32-383-2014 (2014) 
%
% Update uses 
% 1. better, strahl-based correction for excess flux (a.k.a. switchbacks) in spacecraft OSF data from Frost et al. (in press with Solar Physics, 2022)
% 2. the homogeneous aa index (aaH) instead of corrected aa (aa_c) from  
%    Lockwood, M., I.D. Finch, A. Chambodut, L.A. Barnard, M.J. Owens, and E. Clarke
%    A homogeneous aa index: 2. hemispheric asymmetries and the equinoctial variation, 
%    J. Space Weather Space Clim., 8, A58, doi: 10.1051/swsc/2018044 (2018)
%    Lockwood, A. Chambodut, L.A. Barnard, M.J. Owens, E. Clarke, and V. Mendel, 
%    A homogeneous aa index: 1. Secular variation
%    J. Space Weather Space Clim., 8, A53, doi: 10.1051/swsc/2018038 (2018)
% 3. A  better allowance for Uncertainties caused by assumming Parker spiral IMF orientation for annual means
%Updates deries to be published in
%    Lockwood, M., M.J. Owens, L.A. Barnard, C.J. Scott, A.Frost, B. Yu and Y. Chi
%    Application of historic datasets to understanding Open Solar Flux and the 20th-century Grand Solar Maximum. 1. Geomagnetic, ionospheric and sunspot observations
%    Frontiers in Astronomy and Space Sciences, submitted (2022) 
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%   
%	I.S.N	geomagnetic indices		IMF, B			solar wind speed, V	signed open solar flux, Fs		
%year	R	aaH	IDV1d	IDV	IHV	min B	best B	max B	min V	best V	maxV	min Fs	best Fs	max Fs
%		(nT)				(nT)	(nT)	(nT)	(km/s)	(km/s)	(km/s)	1e-14Wb	1e-14Wb	1e-14Wb
%1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1951.5	98.30	26.101	6.922	12.470	50.000	6.891	7.424	8.355	446.0	493.0	529.7	3.801	4.376	5.151
1952.5	44.97	25.392	6.480	11.020	49.350	6.542	6.957	7.410	475.1	506.1	546.9	3.640	4.089	4.537
1953.5	20.13	20.242	4.893	8.890	41.490	5.568	5.928	6.333	448.7	491.4	537.6	2.893	3.261	3.611
1954.5	6.61	15.950	3.965	7.470	34.530	4.870	5.277	5.684	415.0	460.7	506.9	2.261	2.668	3.058
1955.5	54.16	16.281	4.693	8.790	34.610	5.430	5.805	6.284	396.6	437.9	478.7	2.580	2.947	3.304
1956.5	200.66	22.592	8.287	13.510	42.540	7.438	8.066	8.721	401.5	424.8	445.4	3.883	4.450	5.023
1957.5	269.29	25.190	11.304	16.670	45.560	8.754	9.764	10.844	368.8	400.4	427.2	4.524	5.415	6.302
1958.5	261.68	24.394	9.813	15.650	44.960	8.197	9.047	9.930	389.7	413.3	435.9	4.290	5.040	5.806
1959.5	225.11	25.848	9.194	14.470	48.520	7.885	8.606	9.354	415.7	445.0	473.6	4.265	4.962	5.661
1960.5	159.02	28.265	10.365	16.190	50.780	8.470	9.383	10.324	415.1	440.3	462.5	4.613	5.476	6.346
1961.5	76.43	19.226	6.989	11.530	37.660	6.742	7.178	7.624	392.6	416.4	436.0	3.385	3.786	4.188
1962.5	53.35	18.463	4.773	8.660	34.820	5.448	5.814	6.205	440.2	453.9	470.6	2.656	3.023	3.406
1963.5	39.95	18.264	5.243	8.100	33.110	5.272	5.842	6.234	418.4	443.0	468.3	2.505	2.992	3.400
1964.5	15.03	14.820	3.917	7.210	28.710	4.778	5.182	5.585	415.5	424.7	440.2	2.050	2.454	2.861
1965.5	21.97	12.105	4.078	6.980	24.720	4.728	5.158	5.576	364.7	379.1	390.3	1.783	2.226	2.659
1966.5	66.76	14.958	4.911	7.950	29.440	5.239	5.673	6.053	390.2	407.3	420.2	2.273	2.709	3.089
1967.5	132.91	17.098	7.574	10.410	32.240	6.065	7.099	7.675	340.5	383.3	407.3	2.663	3.509	4.011
1968.5	150.01	19.447	5.842	9.490	35.500	6.018	6.354	6.715	426.1	439.8	447.8	2.986	3.340	3.701
1969.5	149.37	17.233	5.918	9.430	31.390	5.972	6.342	6.727	386.4	406.3	424.7	2.795	3.153	3.548
1970.5	147.99	17.195	6.048	10.070	31.930	6.181	6.524	6.875	390.2	401.7	412.9	2.889	3.251	3.623
1971.5	94.40	17.348	4.915	8.880	32.480	5.532	5.896	6.297	423.0	430.8	444.7	2.588	2.976	3.383
1972.5	97.61	17.762	5.944	9.560	33.920	6.038	6.389	6.761	403.9	420.1	433.0	2.898	3.264	3.619
1973.5	54.13	23.122	5.284	9.330	41.230	5.807	6.164	6.548	484.5	496.9	511.0	3.069	3.456	3.876
1974.5	49.22	26.198	5.601	9.340	46.910	5.975	6.296	6.631	505.9	532.2	561.4	3.324	3.690	4.053
1975.5	22.50	20.541	4.816	8.210	38.370	5.417	5.749	6.093	466.3	488.1	513.0	2.773	3.116	3.458
1976.5	18.42	19.257	4.776	8.690	35.830	5.459	5.827	6.229	450.5	463.6	480.7	2.699	3.074	3.472
